Env,Agent,Down,Dist,Field,Top_Choice,Top_Prob,Pass_Prob,Run_Prob,Punt_Prob,FG_Prob
nfl-bucketed,ppo,1,Short,Own 3,UNDER CENTER,0.948,0.021,0.979,0.0,0.0
nfl-bucketed,ppo,1,Short,Own 8,UNDER CENTER,0.805,0.018,0.982,0.0,0.0
nfl-bucketed,ppo,1,Short,Own 13,UNDER CENTER,0.409,0.016,0.983,0.0,0.0
nfl-bucketed,ppo,1,Short,Own 18,SINGLEBACK,0.645,0.014,0.985,0.0,0.0
nfl-bucketed,ppo,1,Short,Own 23,SINGLEBACK,0.785,0.02,0.98,0.0,0.0
nfl-bucketed,ppo,1,Short,Own 28,SINGLEBACK,0.793,0.038,0.962,0.0,0.0
nfl-bucketed,ppo,1,Short,Own 33,SINGLEBACK,0.598,0.089,0.911,0.0,0.0
nfl-bucketed,ppo,1,Short,Own 38,EMPTY,0.619,0.162,0.838,0.0,0.0
nfl-bucketed,ppo,1,Short,Own 43,EMPTY,0.81,0.298,0.702,0.0,0.0
nfl-bucketed,ppo,1,Short,Own 48,EMPTY,0.918,0.534,0.466,0.0,0.0
nfl-bucketed,ppo,1,Short,Opp 47,EMPTY,0.962,0.76,0.24,0.0,0.0
nfl-bucketed,ppo,1,Short,Opp 42,EMPTY,0.979,0.887,0.112,0.0,0.0
nfl-bucketed,ppo,1,Short,Opp 37,EMPTY,0.986,0.949,0.051,0.0,0.0
nfl-bucketed,ppo,1,Short,Opp 32,EMPTY,0.99,0.976,0.023,0.0,0.0
nfl-bucketed,ppo,1,Short,Opp 27,EMPTY,0.993,0.988,0.012,0.0,0.0
nfl-bucketed,ppo,1,Short,Opp 22,EMPTY,0.995,0.994,0.006,0.0,0.0
nfl-bucketed,ppo,1,Short,Opp 17,EMPTY,0.996,0.997,0.003,0.0,0.0
nfl-bucketed,ppo,1,Short,Opp 12,EMPTY,0.997,0.999,0.001,0.0,0.0
nfl-bucketed,ppo,1,Short,Opp 7,EMPTY,0.998,0.999,0.001,0.0,0.0
nfl-bucketed,ppo,1,Short,Opp 2,EMPTY,0.998,0.998,0.0,0.0,0.0
nfl-bucketed,ppo,1,Med,Own 3,UNDER CENTER,0.996,0.999,0.001,0.0,0.0
nfl-bucketed,ppo,1,Med,Own 8,UNDER CENTER,0.984,0.996,0.004,0.0,0.0
nfl-bucketed,ppo,1,Med,Own 13,UNDER CENTER,0.923,0.984,0.016,0.0,0.0
nfl-bucketed,ppo,1,Med,Own 18,UNDER CENTER,0.602,0.926,0.073,0.0,0.0
nfl-bucketed,ppo,1,Med,Own 23,EMPTY,0.587,0.734,0.265,0.0,0.0
nfl-bucketed,ppo,1,Med,Own 28,SINGLEBACK,0.621,0.458,0.542,0.0,0.0
