# _tick,_time,frames,mean_episode_return_0,loss_0,mean_episode_return_1,loss_1
0,1768577666.318325,0,-2.542267084121704,6.513642311096191,0,0
1,1768577675.117134,3200,-1.8888709545135498,3.432922840118408,0,0
2,1768577686.861935,6400,-1.2502689361572266,2.0759124755859375,0,0
3,1768577689.5940676,9600,-1.2502689361572266,2.0759124755859375,0.0018941584276035428,2.0674655437469482
4,1768577698.2728658,12800,-0.9380481243133545,2.099121332168579,0.0018941584276035428,2.0674655437469482
5,1768577709.67624,16000,-0.7364001274108887,2.0486671924591064,0.0018941584276035428,2.0674655437469482
6,1768577712.5995448,19200,-0.7364001274108887,2.0486671924591064,-0.04186853766441345,2.0344603061676025
7,1768577721.071143,22400,-0.6111263036727905,2.109105110168457,-0.04186853766441345,2.0344603061676025
8,1768577732.7973814,25600,-0.5271992683410645,2.1634740829467773,-0.04186853766441345,2.0344603061676025
9,1768577735.8683257,28800,-0.5271992683410645,2.1634740829467773,-0.02256595715880394,2.156914710998535
10,1768577744.5473917,32000,-0.46066099405288696,2.112034320831299,-0.02256595715880394,2.156914710998535
11,1768577756.1888387,35200,-0.4096314609050751,1.853342890739441,-0.02256595715880394,2.156914710998535
12,1768577759.375134,38400,-0.4096314609050751,1.853342890739441,-0.016130654141306877,1.9857856035232544
13,1768577767.673741,41600,-0.36845046281814575,2.0141196250915527,-0.016130654141306877,1.9857856035232544
14,1768577779.2171652,44800,-0.3331938087940216,2.0327975749969482,-0.016130654141306877,1.9857856035232544
15,1768577782.4471002,48000,-0.3331938087940216,2.0327975749969482,-0.018776705488562584,1.9551208019256592
16,1768577790.672311,51200,-0.3036485016345978,1.8366178274154663,-0.018776705488562584,1.9551208019256592
17,1768577802.1317918,54400,-0.2751426696777344,2.090796709060669,-0.018776705488562584,1.9551208019256592
18,1768577805.6911817,57600,-0.2751426696777344,2.090796709060669,-0.027920320630073547,1.875138759613037
19,1768577813.5619524,60800,-0.25388801097869873,1.9751946926116943,-0.027920320630073547,1.875138759613037
20,1768577825.0211008,64000,-0.23533353209495544,2.0650649070739746,-0.027920320630073547,1.875138759613037
21,1768577828.9183228,67200,-0.23533353209495544,2.0650649070739746,-0.027848724275827408,2.0496559143066406
22,1768577836.5117154,70400,-0.21904638409614563,1.8812181949615479,-0.027848724275827408,2.0496559143066406
23,1768577847.9394782,73600,-0.20539222657680511,1.8582656383514404,-0.027848724275827408,2.0496559143066406
24,1768577852.0678887,76800,-0.20539222657680511,1.8582656383514404,-0.02774353325366974,1.8526884317398071
25,1768577859.3935297,80000,-0.1935102641582489,1.9243733882904053,-0.02774353325366974,1.8526884317398071
26,1768577870.9571254,83200,-0.18530595302581787,2.3133420944213867,-0.02774353325366974,1.8526884317398071
27,1768577875.3014197,86400,-0.18530595302581787,2.3133420944213867,-0.02457226999104023,2.1332998275756836
28,1768577882.4601045,89600,-0.1735573709011078,1.9620330333709717,-0.02457226999104023,2.1332998275756836
29,1768577893.9554374,92800,-0.1644315868616104,2.0843307971954346,-0.02457226999104023,2.1332998275756836
30,1768577898.540086,96000,-0.1644315868616104,2.0843307971954346,-0.02658892050385475,1.9057482481002808
31,1768577905.4417527,99200,-0.15479104220867157,1.9866873025894165,-0.02658892050385475,1.9057482481002808
32,1768577917.0516562,102400,-0.14812253415584564,1.68938410282135,-0.02658892050385475,1.9057482481002808
33,1768577921.6255035,105600,-0.14812253415584564,1.68938410282135,-0.026362841948866844,1.8491837978363037
34,1768577928.6426976,108800,-0.13887202739715576,1.865264892578125,-0.026362841948866844,1.8491837978363037
35,1768577940.245682,112000,-0.13190105557441711,2.050177812576294,-0.026362841948866844,1.8491837978363037
36,1768577944.8108122,115200,-0.13190105557441711,2.050177812576294,-0.02935621701180935,1.9512112140655518
37,1768577951.710655,118400,-0.12630784511566162,1.8798404932022095,-0.02935621701180935,1.9512112140655518
38,1768577963.3128192,121600,-0.1184929683804512,1.9517122507095337,-0.02935621701180935,1.9512112140655518
39,1768577967.8961098,124800,-0.1184929683804512,1.9517122507095337,-0.030492715537548065,1.9843283891677856
40,1768577974.8167918,128000,-0.11550427228212357,2.016200542449951,-0.030492715537548065,1.9843283891677856
41,1768577986.3579273,131200,-0.11274385452270508,2.2135374546051025,-0.030492715537548065,1.9843283891677856
42,1768577991.0268424,134400,-0.11274385452270508,2.2135374546051025,-0.027501331642270088,2.0661840438842773
43,1768577997.8490803,137600,-0.11138472706079483,2.420506715774536,-0.027501331642270088,2.0661840438842773
44,1768578009.459293,140800,-0.10944385826587677,1.9988216161727905,-0.027501331642270088,2.0661840438842773
45,1768578014.1324537,144000,-0.10944385826587677,1.9988216161727905,-0.023702824488282204,2.156048059463501
46,1768578021.1240602,147200,-0.10763248056173325,2.2674896717071533,-0.023702824488282204,2.156048059463501
47,1768578032.6093645,150400,-0.10237088054418564,1.857450008392334,-0.023702824488282204,2.156048059463501
48,1768578037.1672466,153600,-0.10237088054418564,1.857450008392334,-0.022543329745531082,2.07796311378479
49,1768578044.1122577,156800,-0.09885990619659424,2.208336353302002,-0.022543329745531082,2.07796311378479
50,1768578055.6334777,160000,-0.09563816338777542,1.8985586166381836,-0.022543329745531082,2.07796311378479
51,1768578060.3470068,163200,-0.09563816338777542,1.8985586166381836,-0.02388739213347435,2.0146501064300537
52,1768578067.180474,166400,-0.09143205732107162,2.2692296504974365,-0.02388739213347435,2.0146501064300537
53,1768578078.6568873,169600,-0.0881338119506836,1.983626365661621,-0.02388739213347435,2.0146501064300537
54,1768578083.3591049,172800,-0.0881338119506836,1.983626365661621,-0.023986518383026123,2.1373229026794434
55,1768578090.1379523,176000,-0.08591518551111221,2.0016565322875977,-0.023986518383026123,2.1373229026794434
56,1768578101.714233,179200,-0.0842982605099678,2.1544113159179688,-0.023986518383026123,2.1373229026794434
57,1768578106.4607537,182400,-0.0842982605099678,2.1544113159179688,-0.02366187423467636,1.9415792226791382
